data,banda,tag,value
02/07/15,Vates e Viola,pé-de-serra,7
02/07/15,Vates e Viola,mpb,10
03/07/15,Coleguinhas,forronejo,5
03/07/15,Coleguinhas,romântico,5
03/07/15,Coleguinhas,forró eletrônico,10
03/07/15,Edra Veras,forronejo,7
03/07/15,Edra Veras,forró eletrônico,10
03/07/15,Geraldinho Lins,pé-de-serra,10
03/07/15,Inaudete Amorim,pé-de-serra,10
04/07/15,Coroné Grilo,pé-de-serra,10
04/07/15,Forró Zueira,forró eletrônico,10
04/07/15,Saia Rodada,forró eletrônico,10
04/07/15,Waldonys,pé-de-serra,10
05/07/15,Forró na Manha,forró eletrônico,10
05/07/15,Garota Safada,forronejo,5
05/07/15,Garota Safada,forró eletrônico,10
05/07/15,Raiane Stthefanny,forró eletrônico,10
