data,banda1,banda2,banda3,banda4,banda5
05/06/15,Biliu de Campina,Jairo Madruga,Jorge de Altinho,Os Três do Nordeste,Luan e Forró Estilizado
06/06/15,Erika Marques,Ton Oliveira,Flávio José
07/06/15,Culé de Xá,Felipe Lemos,Gabriel Diniz,Banda Palov
09/07/15,Eloisa Olinto,Sandra Belê,Lara Amélia
10/07/15,Forrozão Karkará,Galã do Brega,Ramon Schnayder
11/07/15,Jurandir da Feira,Assisão,Vinícius e Sobral,Cavaleiros do Forró
12/07/15,Geovane Júnior,Os Nonatos,Alexandre Tan
13/07/15,Os 3 do nordeste,Capilé,Coronel Grilo,Forró Bakana,João Marcelo e Juliano
14/07/15,Edgley Miguel,Dorgival Dantas,Diogo Cirne
16/07/15,Impacto X,Coco Seco,Forró Instigação
17/07/15,Forró da Galera,Afrodite,Fabiano Guimarães,Aviões do Forró
18/07/15,Cicinho Lima,Raniere Gomes,Bonde do Brasil
19/07/15,Poeta Francinaldo,Iohannes e Forró do Imperador,Amazan,Nando Cordel
20/07/15,Os Gonzagas,Pinto do Acordeon,Genival Lacerda,Forró do Chefe
21/07/15,Forró da Barka,Novinho da Paraíba,Joverlaine e Mania de Sertanejo,GG e Banda Forró do Gordinho
22/07/15,Tribo Cordel,Beto Brito,Orquestra Sanfônica Balaio Nordeste,Luisinho Cartaxo
23/07/15,Antônio Barros e Cecéu,Tony Dumond,Capilé,Elba Ramalho
24/07/15,Chico Sales,Biliu de Campina,Saia Justa,Mara Pavanelly
25/07/15,Zé Calixto,Banda Magia,Netinho Lima
26/07/15,Edmar Miguel,Espora de Ouro,Candeeiro Natural
27/07/15,Forró Sacaneado,Banda Encantus,Shilton Fernandes,João Lima
28/07/15,Solteirões do Forró,Alceu Valença,Renata Arruda
29/07/15,Coco Seco,Chambinho,Gente Boa,Forrozão das Antigas
30/07/15,Padre Fábio de Melo,Helena Holanda
01/07/15,Marcos Freire e Banda,Matheus Felipe e Forró Ousado,Bruno Melo,Desejo de Menina
02/07/15,Vates e Viola,Cabruêra,Magníficos
03/07/15,Inaudete Amorim,Geraldinho Lins,Edra Veras,Coleguinhas
04/07/15,Coroné Grilo,Waldonys,Forró Zueira,Saia Rodada
05/07/15,Garota Safada,Forró na Manha,Raiane Stthefanny
